Shanghai	상하이
Ft Wayne	포트웨인
South Bend	사우스벤드
Wichita	위치토
Manhattan	맨해튼
Lexington	렉싱턴
Paducah	퍼두커
Louisville	루이빌
Alexandria	알렉산드리아
Baton Rouge	배턴루지
Lake Charles	레이크찰스
Lafayette	라피엣
Monroe	먼로
Shreveport	슈리브포트
Baltimore	볼티모어
Bangor	뱅거
Portland	포틀랜드
Alpena	앨피너
Kalamazoo	캘러머주
Detroit	디트로이트
Escanaba	에스커나바
Flint	플린트
Grand Rapids	그랜드 래피즈
Lansing	랜싱
Marquette	마켓
Traverse	트래블스
Bemidji	베미지
Duluth	덜루스
Columbia	컬럼비아
Joplin	졸린
Kansas City	캔자스시티
St Louis	세인트루이스
Gulfport	걸프포트
Jackson	잭슨
Billings	빌링스
Butte	부테
Bozeman	보제맨
Kalispell	칼리스펠
Great Falls	그레이트 폴스
Missoula	미소울라
Asheville	애슈빌
Charlotte	샬럿
New Bern	뉴번
Greensboro	그린즈버러
Wilmington	윌밍턴
Bismarck	비스마르크
Fargo	파고
Omaha	오마하
Manchester	맨체스터
Albuquerque	앨버커큐
Roswell	로스웰
Santa Fe	산타 페
Elko	엘코
Reno	리노
Binghamton	빙햄톤
Buffalo	버팔로
Elmira	엘마이라
White Plains	화이트 플레인스
Rochester	로체스터
Newburgh	뉴버그
Syracuse	시라큐스
Cincinnati	신시내티
Dayton	데이턴
Toledo	토레도
Lawton	라우튼
Oklahoma City	오클라호마시티
Tulsa	툴사
Eugene	유진
Medford	메드퍼드
Redmond	레드몬드
Allentown	앨렌타운
Erie	에리
Harrisburg	해리스버그
Pittsburgh	피츠버그
State College	스테이트칼리지
San Juan	산후앙
Providence	프로비던스
Charleston	찰스턴
Greenville	그린빌
Myrtle Beach	미틀 비치
Rapid City	래피드시티
Chattanooga	채터누가
Memphis	멤피스
Knoxville	녹스빌
Abilene	아빌렌
Waco	와코
Amarillo	아마릴로
Austin	오스틴
Brownsville	브라운즈빌
Corpus Christi	코퍼스크리스티
El Paso	엘파소
Longview	롱뷰
Lubbock	루복
Laredo	라리도
Midland	미드랜드오데사
McAllen	맥컬린
San Antonio	샌안토니오
San Angelo	산안젤로
Wichita Falls	위치타폴스
Tyler	테일러
Cedar City	시더시티
St George	세인트 죠지
Salt Lake City	솔트레이크시티
Charlottesville	샬럿스빌
Newport News	뉴포트뉴스
Richmond	리치먼드
Roanoke	로어노크
Staunton	스톤튼
Burlington	벌링턴
Bellingham	벨링햄
Spokane	스포케인
Pasco	파스코
Appleton	애플턴
Green Bay	그린베이
La Crosse	라크로세
Milwaukee	밀워키
Madison	매디슨
Cody	코디
Casper	카스퍼
Rock Springs	록 스프링스
Montevideo	몬테비데오
Uruguay	우루과이
Bukhara	부하라
Uzbekistan	우즈베키스탄
KARSHI	카르시
NUKUS	누쿠스
Tashkent	타쉬켄트
Caracas	카라카스
Venezuela	베네수엘라
Da Nang	다낭
Nha Trang	나트랑
Sanaa	싸나
Yemen	예맨
Pristina	프리스티나
Yugoslavia	유고슬라비아
Podgorica	포드고리차
Bloemfontein	블룸폰테인
Durban	더반
East London	이스트 런던
George	조지
Kimberley	킴벌리
Nelspruit	넬스푸룻
Port Elizabeth	포트 엘리자베스
Pietersburg	폴로크와네
Pietermaritzburg	피터마리츠버그
Richards Bay	리차드스 베이
Umtata	음타타
Lusaka	루사카
Zambia	잠비아
Goma	고마
Bulawayo	불라와요
Zimbabwe	짐바브웨
Harare	하라레
gap	갭
cat	캣
book	북
apt	앱트
setback	셋백
act	액트
stamp	스탬프
cape	케이프
nest	네스트
part	파트
desk	데스크
make	메이크
apple	애플
mattress	매트리스
bulb	벌브
land	랜드
zigzag	지그재그
lobster	로브스터
kidnap	키드냅
signal	시그널
mask	마스크
jazz	재즈
graph	그래프
olive	올리브
thrill	스릴
bathe	베이드
flash	플래시
shrub	슈러브
shark	샤크
shank	섕크
fashion	패션
sheriff	셰리프
shopping	쇼핑
shoe	슈
shim	심
mirage	미라지
vision	비전
odds	오즈
switch	스위치
bridge	브리지
hitchhike	히치하이크
chart	차트
virgin	버진
steam	스팀
corn	콘
ring	링
lamp	램프
hint	힌트
ink	잉크
hanging	행잉
longing	롱잉
hotel	호텔
pulp	펄프
slide	슬라이드
film	필름
helm	헬름
swoln	스월른
team	팀
route	루트
time	타임
house	하우스
skate	스케이트
oil	오일
boat	보트
tower	타워
word	워드
want	원트
woe	워
wander	완더
wag	왜그
west	웨스트
witch	위치
wool	울
swing	스윙
twist	트위스트
penguin	펭귄
whistle	휘슬
quarter	쿼터
yard	야드
yank	얭크
yearn	연
yellow	옐로
yawn	욘
you	유
year	이어
battalion	버탤리언
union	유니언
cuplike	컵라이크
bookend	북엔드
headlight	헤드라이트
touchwood	터치우드
bookmaker	북메이커
flashgun	플래시건
topknot	톱놋
kanaan	가나안
garnet	가넷
guard	가드
guardrail	가드레일
guard man	가드맨
garden	가든
cardigan	가디건
gavel	가벨
gasoline	가솔린
gas	가스
gas lens	가스레인지
gastrocamera	가스트로카메라
gossip	가십
gossip maker	가십메이커
gown	가운
guidance	가이던스
guide	가이드
guide line	가이드라인
Geist	가이스트
guidebook	가이드북
Gandhiism	간디즘
garlic	갈릭
gamma	감마
God	갓
gag	개그
gagman	개그맨
guarantee	개린티
gallry	갤러리
gambel	갬블
gap	갭
gang	갱
girder bridge	거더브리지
girdle	거들
governor	거버너
gudgeon pin	거전핀
girl	걸
gulf	걸프
gun	건
Genom	게놈
German	게르만
guerrilla	게릴라
Gestapo	게슈타보
guest	게스트
gay	게이
gauge	게이지
gate	게이트
gate way	게이트웨이
game	게임
game over	게임 오버
ghetto	게토
Gethsemane	겟세마네
go	고
go-go	고고
Gothic	고딕
gorilla	고릴라
ghost	고스트
Gosilla	고질라
gundola	곤돌라
goal net	골네트
gold	골드
golden	골든
golden season	골든 시즌
golden time	골든타임
goal judge	골 저지
goal keeper	골 키퍼
golfer	골퍼
golf	골프
good	굿
good shot	굿 샷
good idea	굿 아이디어
ground	그라운드
gratin	그라탕
Grand prix	그랑프리
grouting	그라우팅
grinder	그라인더
graphic	그래프
grand	그랜드
grand stand	그랜드스탠드
grame	그램
gray	그레이
great	그레이트
group	그룹
grease	그리스
green	그린
greenbelt	그린벨트
green tea	그린티
Greenpeace	그린피스
glass	글라스
gliding	글라이딩
glamour	글래머
glove	글러브
global	글로벌
global village	글로벌 빌리지
glycerine	글리세린
Gips	기브스
Guinness Book	기네스북
gift shop	기프트 숍
gift item	기프트 아이템
Gymnasium	김나지움
nano	나노
narcissism	나르시시즘
NASA	나사
Nazareth	나사렛
nice	나이스
nightclub	나이트클럽
night	나이트
Nazis	나치스
NATO	나토
Napoleon	나폴레옹
Naphthalin	나프탈린
knowledge	날리지
narration	내레이션
national	내셔널
nationalism	내셔널리즘
national park	내셔널파크
natural	내추럴
napkin	냅킨
nurse	너스
nut	너트
non sense	넌센스
number	넘버
numbering machine	넘버링머신
negative	네거티브
neon lamp	네온램프
nation	네이션
nature	네이처
nail	네일
neck	네크
network	네트워크
netizen	네티즌
net	넷
no	노
notouch	노다지
normal	노멀
Nobel prize	노벨상
novice	노비스
noble	노블
nebelesse oblige	노블레스
Neurose	노이로제
noise	노이즈
nozzle	노즐
no comment	노코멘트
knock	노크
no tie	노타이
no touch	노타치
note	노트
no parking	노파킹
no play	노 플레이
know how	노하우
nonstop	논스톱
nonfiction	논픽션
nude	누드
nuance	뉘앙스
noon	눈
new	뉴
news	뉴스
nickel	니켈
knit	니트
nickname	닉네임
NIMBY	님비
dadaism	다다이즘
dowm	다운
dining room	다이닝룸
dynamic	다이내믹
diver	다이버
diving	다이빙
dial	다이알
diary	다이어리
diet	다이어트
dioxin	다이옥신
documentary	다큐멘터리
doctor	닥터
duct	닥트
dolly	달리
dharma	달마
dancer	댄서
dam	댐
damping	댐핑
dummy	더미
double	더블
double bed	더블베드
WC	더블유 씨
dusky	더스키
dumper	덤퍼
dump truck	덤프 트럭
dumping	덤핑
dunk shoot	덩크슛
dead	데드
deadeye	데드아이
demonstration	데모
debut	데뷔
dessin	데생
desk	데스크
decibel	데시벨
day	데이
data	데이터
date	데이트
daily	데일리
department store	데파트먼트 스토어
dental	덴탈
depth interview	데프스인터뷰
dog	도그
doughnut	도넛
transmitter	도란스
door	도어
docking	도킹
dock	독
doctrine	독트린
dolphin	돌핀
dome	돔
duo	듀오
drama	드라마
dry	드라이
drycleaning	드라이 크리닝
drybattery	드라이배터리
driver	드라이버
drive	드라이브
dry ice	드라이아이스
dryer	드라이어
dragon	드래곤
drag	드래그
dressing	드레싱
dressing room	드레싱 룸
drain cock	드레인콕
draping	드레핑
drum	드럼
dress	드레스
dressingroom	드레싱룸
drawing	드로잉
dawing paper	드로잉 페이퍼
drop hammer	드롭해머
drill	드릴
drink	드링크
dream	드림
deluxe	디럭스
director	디렉터
discount sale	디스카운트세일
disk	디스크
design	디자인
Disneyland	디즈니랜드
digital	디지털
dealer	딜러
dance	댄스
D-RAM	램
dialogue	다이얼로그
designer	디자이너
dessert	디저트
label	라벨
rabbi	라비
last	라스트
round	라운드
right	라이트
rival	라이벌
rice	라이스
rice box	라이스박스
light	라이트
life member	라이프 멤버
line	라인
life	라이프
lilac	라일락
lingerie	란제리
wrap	랩
rap music	랩 뮤직
ranking	랭킹
running shirt	러닝셔츠
love	러브
love story	러브 스토리
rush	러시
running	런닝
red	레드
red card	레드카드
level	레벨
restaurant	레스토랑
rest	레스트
rest room	레스트 룸
lesson	레슨
receiver	레시버
readymixed concrete	레미콘
radar	레이다
lady	레이디
race	레이스
razor	레이저
rail	레일
record	레코드
range	렌지
resident	레지던트
letter	레테르
lens	렌즈
wrench	렌치
low	로
law	로
logo	로고
romance	로맨스
romantic	로맨틱
robot	로봇
lobby	로비
lotion	로션
roast	로스
roaster	로스터
royal	로열
royalty	로열티
rose	로즈
rotary	로타리
rope	로프
lock	록
rock music	록 뮤직
long	롱
roller skate	롤러 스테이트
rolling	롤링
rouge	루즈
roots	루츠
route	루트
route-map	루트맵
look	룩
rule	룰
room	룸
rumba	룸바
room charge	룸 차지
rheumatism	류마티즘
Renaissance	르네상스
reportage	르포
league	리그
leader	리더
leadership	리더쉽
reamer punch	리머펀치
retouch	리터치
lead	리드
rhythm	리듬
remote control	리모트 컨트롤
limousine	리무진
living	리빙
living room	리빙룸
research	리서치
list	리스트
real	리얼
realist	리얼리스트
resort	리조트
rich	리치
recall	리콜
request	리퀘스트
return	리턴
report	리포트
reporter	리포터
repeat	리피트
lift	리프트
rehearsal	리허설
refill	리필
rinse	린스
relay	릴레이
lily	릴리
lip	립
lipstick	립스틱
ring	링
rink	링크
link	링크
link fuse	링크휴즈
ringer	링겔
magarine	마가린
magnet	마그넷
madam	마담
madonna	마돈나
master	마스터
mannequin	마네킹
matroos	마도로스
marble	마블
mount	마운트
mile	마일
Massage	마사지
massaga	마사지
mast	마스트
mascara	마스카라
Maya	마야
mayonnaise	마요네즈
mouse	마우스
micro	마이크로
microwave	마이크로 웨이브
mind	마인드
mile	마일
mileage service	마일리지서비스
march	마치
macaroni	마카로니
marketing	마케팅
marker	마켓
mark	마크
mart	마트
Mafia	마피아
mandarin	만다린
malaria	말라리아
mambo	맘보
manteau	망토
magazine	매거진
manner	매너
manual	매뉴얼
manager	매니저
manicure	매니큐어
mass communication	매스컴
